Country Name,Country Code,Indicator Name,Indicator Code,2011
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,310502100.00
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,18186479172.80
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2619700404733.37
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,14434619982.21
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,39566292432.86
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,6785188889.09
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,898283478.44
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1099385895.08
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,21329395900.87
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,287797822093.18
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,778648666.67
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2515245776.44
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,47654841112.85
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,4928000000.00
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,2576024115.58
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,48779729165555.10
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,248513617677.29
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,17710315006.00
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,522235870419.30
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,62236751773.05
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,7516834160.25
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,140782064609.19
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,23619352272048.50
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,25268429925490.90
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1650223954885.17
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,810782537391.53
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,892969107923.09
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,832107608674.39
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,6142169524.11
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1823049927771.46
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,239018536581.68
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,583500357530.42
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,185749664444.44
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,14732689534.60
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,261628548084.18
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2276292404600.52
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,14439910353.06
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,28840263380.28
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,6157459594823.72
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,192626507971.58
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,41953433591.41
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,6197766118.60
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,12829541141.01
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,177142135.12
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,753225962.96
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1202463682633.85
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,154027536231.88
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,5605037810076.20
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,8749241114.19
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,40075674163.25
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1545400000.00
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,34699395523.61
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1437684814.81
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,6064277798886.03
